,Media Source,Compound,Positive,Negative,Neutral,Date,Tweets Ago,Tweet
0,@BBC,-0.6249,0.124,0.581,0.295,Thu Mar 29 11:00:21 +0000 2018,1,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
1,@BBC,0.6908,0.231,0.769,0.0,Thu Mar 29 10:18:02 +0000 2018,2,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
2,@BBC,0.784,0.345,0.655,0.0,Thu Mar 29 08:00:12 +0000 2018,3,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
3,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:27:07 +0000 2018,4,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
4,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:00:10 +0000 2018,5,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
5,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 18:00:05 +0000 2018,6,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
6,@BBC,0.296,0.109,0.891,0.0,Wed Mar 28 17:00:12 +0000 2018,7,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
7,@BBC,-0.8225,0.0,0.688,0.312,Wed Mar 28 16:30:00 +0000 2018,8,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
8,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 16:00:10 +0000 2018,9,Slacking off in Dubai. https://t.co/a3oSKIxfSK
9,@BBC,0.7506,0.28,0.72,0.0,Wed Mar 28 15:35:27 +0000 2018,10,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
10,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 13:32:04 +0000 2018,11,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
11,@BBC,-0.3182,0.0,0.887,0.113,Wed Mar 28 12:26:01 +0000 2018,12,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
12,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:50:54 +0000 2018,13,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
13,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:49:07 +0000 2018,14,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
14,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:47:35 +0000 2018,15,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
15,@BBC,-0.34,0.0,0.902,0.098,Wed Mar 28 11:47:08 +0000 2018,16,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
16,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:45:32 +0000 2018,17,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
17,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:42:34 +0000 2018,18,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
18,@BBC,0.3182,0.108,0.837,0.056,Wed Mar 28 11:30:09 +0000 2018,19,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
19,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:04:03 +0000 2018,20,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
20,@BBC,-0.6249,0.124,0.581,0.295,Thu Mar 29 11:00:21 +0000 2018,21,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
21,@BBC,0.6908,0.231,0.769,0.0,Thu Mar 29 10:18:02 +0000 2018,22,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
22,@BBC,0.784,0.345,0.655,0.0,Thu Mar 29 08:00:12 +0000 2018,23,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
23,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:27:07 +0000 2018,24,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
24,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:00:10 +0000 2018,25,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
25,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 18:00:05 +0000 2018,26,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
26,@BBC,0.296,0.109,0.891,0.0,Wed Mar 28 17:00:12 +0000 2018,27,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
27,@BBC,-0.8225,0.0,0.688,0.312,Wed Mar 28 16:30:00 +0000 2018,28,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
28,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 16:00:10 +0000 2018,29,Slacking off in Dubai. https://t.co/a3oSKIxfSK
29,@BBC,0.7506,0.28,0.72,0.0,Wed Mar 28 15:35:27 +0000 2018,30,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
30,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 13:32:04 +0000 2018,31,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
31,@BBC,-0.3182,0.0,0.887,0.113,Wed Mar 28 12:26:01 +0000 2018,32,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
32,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:50:54 +0000 2018,33,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
33,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:49:07 +0000 2018,34,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
34,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:47:35 +0000 2018,35,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
35,@BBC,-0.34,0.0,0.902,0.098,Wed Mar 28 11:47:08 +0000 2018,36,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
36,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:45:32 +0000 2018,37,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
37,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:42:34 +0000 2018,38,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
38,@BBC,0.3182,0.108,0.837,0.056,Wed Mar 28 11:30:09 +0000 2018,39,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
39,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:04:03 +0000 2018,40,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
40,@BBC,-0.6249,0.124,0.581,0.295,Thu Mar 29 11:00:21 +0000 2018,41,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
41,@BBC,0.6908,0.231,0.769,0.0,Thu Mar 29 10:18:02 +0000 2018,42,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
42,@BBC,0.784,0.345,0.655,0.0,Thu Mar 29 08:00:12 +0000 2018,43,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
43,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:27:07 +0000 2018,44,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
44,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:00:10 +0000 2018,45,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
45,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 18:00:05 +0000 2018,46,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
46,@BBC,0.296,0.109,0.891,0.0,Wed Mar 28 17:00:12 +0000 2018,47,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
47,@BBC,-0.8225,0.0,0.688,0.312,Wed Mar 28 16:30:00 +0000 2018,48,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
48,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 16:00:10 +0000 2018,49,Slacking off in Dubai. https://t.co/a3oSKIxfSK
49,@BBC,0.7506,0.28,0.72,0.0,Wed Mar 28 15:35:27 +0000 2018,50,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
50,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 13:32:04 +0000 2018,51,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
51,@BBC,-0.3182,0.0,0.887,0.113,Wed Mar 28 12:26:01 +0000 2018,52,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
52,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:50:54 +0000 2018,53,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
53,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:49:07 +0000 2018,54,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
54,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:47:35 +0000 2018,55,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
55,@BBC,-0.34,0.0,0.902,0.098,Wed Mar 28 11:47:08 +0000 2018,56,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
56,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:45:32 +0000 2018,57,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
57,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:42:34 +0000 2018,58,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
58,@BBC,0.3182,0.108,0.837,0.056,Wed Mar 28 11:30:09 +0000 2018,59,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
59,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:04:03 +0000 2018,60,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
60,@BBC,-0.6249,0.124,0.581,0.295,Thu Mar 29 11:00:21 +0000 2018,61,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
61,@BBC,0.6908,0.231,0.769,0.0,Thu Mar 29 10:18:02 +0000 2018,62,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
62,@BBC,0.784,0.345,0.655,0.0,Thu Mar 29 08:00:12 +0000 2018,63,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
63,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:27:07 +0000 2018,64,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
64,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:00:10 +0000 2018,65,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
65,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 18:00:05 +0000 2018,66,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
66,@BBC,0.296,0.109,0.891,0.0,Wed Mar 28 17:00:12 +0000 2018,67,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
67,@BBC,-0.8225,0.0,0.688,0.312,Wed Mar 28 16:30:00 +0000 2018,68,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
68,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 16:00:10 +0000 2018,69,Slacking off in Dubai. https://t.co/a3oSKIxfSK
69,@BBC,0.7506,0.28,0.72,0.0,Wed Mar 28 15:35:27 +0000 2018,70,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
70,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 13:32:04 +0000 2018,71,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
71,@BBC,-0.3182,0.0,0.887,0.113,Wed Mar 28 12:26:01 +0000 2018,72,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
72,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:50:54 +0000 2018,73,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
73,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:49:07 +0000 2018,74,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
74,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:47:35 +0000 2018,75,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
75,@BBC,-0.34,0.0,0.902,0.098,Wed Mar 28 11:47:08 +0000 2018,76,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
76,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:45:32 +0000 2018,77,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
77,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:42:34 +0000 2018,78,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
78,@BBC,0.3182,0.108,0.837,0.056,Wed Mar 28 11:30:09 +0000 2018,79,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
79,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:04:03 +0000 2018,80,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
80,@BBC,-0.6249,0.124,0.581,0.295,Thu Mar 29 11:00:21 +0000 2018,81,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
81,@BBC,0.6908,0.231,0.769,0.0,Thu Mar 29 10:18:02 +0000 2018,82,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
82,@BBC,0.784,0.345,0.655,0.0,Thu Mar 29 08:00:12 +0000 2018,83,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
83,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:27:07 +0000 2018,84,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
84,@BBC,0.0,0.0,1.0,0.0,Thu Mar 29 07:00:10 +0000 2018,85,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
85,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 18:00:05 +0000 2018,86,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
86,@BBC,0.296,0.109,0.891,0.0,Wed Mar 28 17:00:12 +0000 2018,87,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
87,@BBC,-0.8225,0.0,0.688,0.312,Wed Mar 28 16:30:00 +0000 2018,88,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
88,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 16:00:10 +0000 2018,89,Slacking off in Dubai. https://t.co/a3oSKIxfSK
89,@BBC,0.7506,0.28,0.72,0.0,Wed Mar 28 15:35:27 +0000 2018,90,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
90,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 13:32:04 +0000 2018,91,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
91,@BBC,-0.3182,0.0,0.887,0.113,Wed Mar 28 12:26:01 +0000 2018,92,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
92,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:50:54 +0000 2018,93,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
93,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:49:07 +0000 2018,94,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
94,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:47:35 +0000 2018,95,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
95,@BBC,-0.34,0.0,0.902,0.098,Wed Mar 28 11:47:08 +0000 2018,96,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
96,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:45:32 +0000 2018,97,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
97,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:42:34 +0000 2018,98,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
98,@BBC,0.3182,0.108,0.837,0.056,Wed Mar 28 11:30:09 +0000 2018,99,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
99,@BBC,0.0,0.0,1.0,0.0,Wed Mar 28 11:04:03 +0000 2018,100,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
0,@CBS,0.3818,0.212,0.68,0.108,Tue Mar 27 21:00:01 +0000 2018,1,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
1,@CBS,0.296,0.099,0.901,0.0,Tue Mar 27 17:00:00 +0000 2018,2,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
2,@CBS,0.508,0.12,0.88,0.0,Mon Mar 26 22:14:25 +0000 2018,3,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
3,@CBS,0.0,0.0,1.0,0.0,Mon Mar 26 20:42:48 +0000 2018,4,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
4,@CBS,0.7959,0.214,0.786,0.0,Mon Mar 26 16:59:19 +0000 2018,5,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
5,@CBS,0.807,0.378,0.622,0.0,Mon Mar 26 16:05:18 +0000 2018,6,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
6,@CBS,0.0,0.0,1.0,0.0,Sun Mar 25 23:57:34 +0000 2018,7,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
7,@CBS,0.5319,0.157,0.78,0.062,Sun Mar 25 17:15:25 +0000 2018,8,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
8,@CBS,0.5399,0.199,0.801,0.0,Sat Mar 24 22:46:53 +0000 2018,9,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
9,@CBS,-0.34,0.115,0.7,0.185,Sat Mar 24 22:46:43 +0000 2018,10,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
10,@CBS,0.7003,0.209,0.791,0.0,Sat Mar 24 22:25:03 +0000 2018,11,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
11,@CBS,0.0,0.0,1.0,0.0,Sat Mar 24 22:21:37 +0000 2018,12,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
12,@CBS,0.0,0.0,1.0,0.0,Sat Mar 24 22:21:34 +0000 2018,13,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
13,@CBS,0.7184,0.333,0.667,0.0,Sat Mar 24 22:21:26 +0000 2018,14,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
14,@CBS,0.9451,0.42,0.58,0.0,Sat Mar 24 22:21:23 +0000 2018,15,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
15,@CBS,0.0,0.0,1.0,0.0,Sat Mar 24 20:00:02 +0000 2018,16,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x"
16,@CBS,0.6996,0.194,0.806,0.0,Fri Mar 23 22:33:52 +0000 2018,17,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW
17,@CBS,0.4939,0.314,0.686,0.0,Fri Mar 23 22:33:04 +0000 2018,18,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU
18,@CBS,0.8997,0.355,0.645,0.0,Fri Mar 23 22:32:48 +0000 2018,19,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…"
19,@CBS,0.0,0.0,1.0,0.0,Thu Mar 22 22:10:29 +0000 2018,20,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC
20,@CBS,0.3818,0.212,0.68,0.108,Tue Mar 27 21:00:01 +0000 2018,21,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
21,@CBS,0.296,0.099,0.901,0.0,Tue Mar 27 17:00:00 +0000 2018,22,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
